Original,OMR,NEW_Accuracy,STANDARD_accuracy,Errors_nb,Total_symbols_in_original
test_fake.musicxml,test_fake_Audiveris.mxl,91.75,91.65,50,
Pomp_and_Circumstance-Basses.musicxml,Pomp_and_Circumstance-Basses_Audiveris.mxl,87.7,87.55,61,
Pomp_and_Circumstance-Bassoon.musicxml,Pomp_and_Circumstance-Bassoon_Audiveris.mxl,92.09,91.75,33,
Pomp_and_Circumstance-Bass_Saxophone.musicxml,Pomp_and_Circumstance-Bass_Saxophone_Audiveris.mxl,75.49,75.25,75,
230001310-1_5_2.mei,230001310-1_5_2.mxl,92.86,92.86,3,
230001310-1_5_2.mei,230001310-1_5_2.mxl,92.86,92.86,3,
000051650-1_1_1.mei,000051650-1_1_1.mxl,94.59,94.59,2,
000100010-1_2_2.mei,000100010-1_2_2.mxl,100,100,0,
000100010-1_2_2.mei,000100010-1_2_2.mxl,78.12,78.12,7,
230001310-1_5_2.mei,230001310-1_5_2.mxl,92.86,92.86,3,42
2024_01_31_10_50_15_TEST.musicxml,2024_01_31_10_50_15_TEST.mxl,98.53,98.53,3,204
2024_01_31_10_52_58_TEST.musicxml,2024_01_31_10_52_58_TEST.mxl,98.80,98.80,3,250
000110848-23_1_1.mei,000110848-23_1_1.mxl,63.67,70.83,7,24
000110848-23_1_1.mei,000110848-23_1_1_ScanScore.xml,62.50,62.50,9,24
000110848-23_1_1.mei,000110848-23_1_1.mxl,63.67,70.83,7,24
000110848-23_1_1.mei,000110848-23_1_1_ScanScore.xml,62.50,62.50,9,24
230003308-1_1_2.mei,230003308-1_1_2.mxl,69.23,69.23,8,26
230003308-1_1_2.mei,230003308-1_1_2_ScanScore.xml,44.32,42.31,15,26
190022621-1_1_1.mei,190022621-1_1_1_ScanScore.xml,64.29,64.29,10,28
000120381-10_1_1.mei,000120381-10_1_1_ScanScore.xml,93.88,93.88,3,49
000132709-1_2_1.mei,000132709-1_2_1.mxl,92.94,92.94,6,85
000132709-1_2_1.mei,000132709-1_2_1_ScanScore.xml,85.88,85.88,12,85
210097332-1_10_2.mei,210097332-1_10_2_ScanScore.xml,-1.33,36.36,21,33
230000106-1_31_1.mei,230000106-1_31_1.mxl,75.00,75.00,5,20
230000106-1_31_1.mei,230000106-1_31_1_ScanScore.xml,-27.36,10.00,18,20
100016147-1_1_2.mei,100016147-1_1_2.mxl,4.54,40.74,16,27
100016147-1_1_2.mei,100016147-1_1_2_ScanScore.xml,-2.87,33.33,18,27
100016147-1_1_2.mei,100016147-1_1_2.mxl,4.54,40.74,16,27
100016147-1_1_2.mei,100016147-1_1_2_ScanScore.xml,-2.87,33.33,18,27
000122753-1_1_2.mei,000122753-1_1_2.mxl,89.74,89.74,8,78
000122753-1_1_2.mei,000122753-1_1_2_ScanScore.xml,20.53,51.28,38,78
000111859-5_1_1.mei,000111859-5_1_1.mxl,81.25,81.25,6,32
000111859-5_1_1.mei,000111859-5_1_1_ScanScore.xml,56.25,56.25,14,32
212003630-1_2_1.mei,212003630-1_2_1.mxl,88.14,88.14,7,59
